Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,4.7u,
"C12, C13",0603,2,12p,
C14,0805,1,100n,
C3,0603,1,10n,
"C4, C6, C7, C8, C9",1206,5,100u,
C5,1206,1,100uF,
D1,D_SOD-123F,1,3V8,
D11,0805,1,LED,
"J10, J11, J4, J5",PinSocket_1x02_P2.54mm_Vertical,4,Conn_01x02,
J13,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
"J2, J6, J7",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04,
L2,WE-TPC_2828,1,WE-TPC_2828,
"Q1, Q2",SOT-23,2,IRLML6402,
"R1, R2, R4",0603,3,R,
"R3, R6",0603,2,0R,
"R5, R7",0603,2,1M,
R8,0805,1,R,
ROK_2,0603,1,6.49M,
ROK_3,0603,1,6.0M,
ROV_1,0603,1,3.16M,
RUV_2,0603,1,1.78M,
R_OC1,0603,1,4.99M,
R_OC2,0603,1,15M,
R_OK1,0603,1,3.4M,
R_OV2,0603,1,6.19M,
R_UV1,0603,1,4.87M,
SC1,CAPPRD508W154D1200H850,1,100mF,
"TC1, TC2",TC2030-IDC,2,TC2030-IDC,
TP1,TestPoint_Pad_D1.0mm,1,TestPoint,
U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,1,BQ25504,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ATtiny402-SS,
U3,MDBT42TV-P,1,MDBT42TV,
U4,SOT-563,1,TMP112xxDRL,
Y1,XTAL_ABS07-32.768KHZ-T,1,ABS07-32.768KHZ-T,
