Designator,Mid X,Mid Y,Rotation,Layer
C1,46.8,-34.5,180.0,top
C12,68.8375,-41.3,0.0,top
C13,69.1,-46.9,0.0,top
C14,71.5,-49.5,0.0,top
C2,54.0375,-28.5,0.0,top
C3,46.9,-36.7,0.0,top
C4,47.3,-27.0625,90.0,top
C5,47.58,-44.5,0.0,top
C6,49.8,-27.0625,90.0,top
C7,54.0375,-25.5,0.0,top
C8,58.3,-27.0625,90.0,top
C9,60.8,-27.0625,90.0,top
D1,43.548,-44.5,90.0,top
D11,54.0,-48.5,90.0,top
J10,78.0,-59.73,180.0,top
J11,43.0,-27.27,0.0,top
J13,66.785,-33.905,90.0,bottom
J2,68.49,-61.0,90.0,bottom
J4,78.0,-27.52,0.0,top
J5,43.0,-59.73,180.0,top
J6,53.19,-61.0,270.0,bottom
J7,47.99,-40.5,90.0,bottom
L2,48.2,-31.5,180.0,top
Q1,66.5,-28.5,270.0,top
R1,47.0,-54.0,180.0,top
R2,51.0875,-54.0,0.0,top
R3,43.548,-50.429,270.0,top
R4,54.0,-53.0875,270.0,top
R5,66.5,-25.5,0.0,top
R6,70.0,-25.5,180.0,top
R7,57.278602,-30.606308,0.0,top
R8,52.08,-44.5,0.0,top
ROK_2,56.5375,-33.0,90.0,top
ROV_1,50.3,-37.5,0.0,top
RUV_2,56.9,-35.4,0.0,top
R_OC1,43.7,-36.0875,270.0,top
R_OC2,42.1,-36.1,90.0,top
R_OK1,58.0375,-33.0,90.0,top
R_OV2,50.3,-36.0,0.0,top
R_UV1,53.6,-37.5,180.0,top
SC1,60.5,-41.5,270.0,top
TC1,74.516,-35.96,270.0,top
TC2,74.516825,-30.885288,90.0,bottom
U1,53.15,-32.4625,0.0,top
U2,49.0,-50.0,270.0,top
U3,72.158835,-41.217501,270.0,top
U4,75.5,-49.5,0.0,top
Y1,70.0,-44.117501,270.0,top
